Semester,Score,Score Range
1.2015-2016,0,0to5
1.2015-2016,8.1,8to10
1.2015-2016,7,5to8
1.2015-2016,6,5to8
1.2014-2015,0,0to5
1.2014-2015,6.3,5to8
1.2014-2015,5.9,5to8
1.2015-2016,7.5,5to8
1.2015-2016,7,5to8
1.2015-2016,0,0to5
1.2015-2016,8.2,8to10
1.2015-2016,8.5,8to10
1.2015-2016,7.5,5to8
1.2015-2016,7.9,5to8
1.2015-2016,8.8,8to10
1.2015-2016,1.8,0to5
1.2014-2015,5.3,5to8
1.2015-2016,7.3,5to8
1.2015-2016,0,0to5
2.2013-2014,2.9,0to5
2.2013-2014,4.3,0to5
1.2014-2015,6.5,5to8
2.2013-2014,3.3,0to5
2.2013-2014,6.8,5to8
1.2014-2015,5.9,5to8
2.2013-2014,5.7,5to8
2.2013-2014,0,0to5
1.2014-2015,6.2,5to8
1.2014-2015,5.3,5to8
1.2014-2015,6.8,5to8
1.2014-2015,7.3,5to8
2.2013-2014,7.2,5to8
1.2014-2015,6.5,5to8
1.2015-2016,5.5,5to8
1.2014-2015,5.9,5to8
1.2014-2015,5,5to8
1.2014-2015,5.9,5to8
1.2014-2015,6.5,5to8
1.2014-2015,6.2,5to8
1.2014-2015,6.5,5to8
2.2013-2014,6.9,5to8
1.2014-2015,5.6,5to8
1.2014-2015,6.6,5to8
1.2014-2015,5.9,5to8
1.2015-2016,6.7,5to8
1.2014-2015,3.7,0to5
1.2014-2015,7,5to8
2.2013-2014,0,0to5
1.2014-2015,6.3,5to8
1.2014-2015,6.2,5to8
1.2014-2015,5.3,5to8
1.2014-2015,5,5to8
1.2014-2015,5,5to8
1.2013-2014,9.4,8to10
1.2014-2015,0,0to5
1.2014-2015,0,0to5
1.2014-2015,5.5,5to8
1.2014-2015,3.1,0to5
1.2015-2016,1.2,0to5
1.2014-2015,5.6,5to8
1.2014-2015,6,5to8
2.2013-2014,5.4,5to8
1.2014-2015,7.6,5to8
1.2014-2015,5.3,5to8
1.2014-2015,6.7,5to8
1.2014-2015,5,5to8
1.2014-2015,0,0to5
1.2015-2016,5.7,5to8
1.2014-2015,0,0to5
1.2014-2015,5.3,5to8
1.2014-2015,2.1,0to5
1.2014-2015,3.6,0to5
1.2014-2015,0,0to5
1.2014-2015,2.7,0to5
1.2014-2015,6.8,5to8
1.2014-2015,2.4,0to5
1.2013-2014,2.9,0to5
1.2014-2015,5.9,5to8
1.2015-2016,0.6,0to5
1.2015-2016,6.3,5to8
1.2014-2015,5.2,5to8
1.2014-2015,4.6,0to5
1.2014-2015,6.1,5to8
1.2014-2015,5.5,5to8
1.2014-2015,0,0to5
1.2014-2015,4.5,0to5
1.2014-2015,2.4,0to5
1.2014-2015,0,0to5
1.2014-2015,5,5to8
1.2014-2015,0,0to5
1.2013-2014,5.7,5to8
1.2014-2015,5.4,5to8
2.2013-2014,5.5,5to8
1.2014-2015,5.2,5to8
1.2013-2014,2,0to5
1.2015-2016,0,0to5
2.2013-2014,9.1,8to10
1.2013-2014,5.8,5to8
2.2013-2014,4.4,0to5
1.2013-2014,8.3,8to10
2.2013-2014,5.4,5to8
1.2013-2014,6.4,5to8
1.2013-2014,0.4,0to5
1.2014-2015,0.6,0to5
1.2013-2014,7.5,5to8
1.2013-2014,5.2,5to8
1.2013-2014,5.7,5to8
2.2013-2014,7.1,5to8
1.2013-2014,4.7,0to5
1.2013-2014,6,5to8
1.2013-2014,5.6,5to8
1.2013-2014,3.5,0to5
2.2013-2014,4.4,0to5
1.2013-2014,4.7,0to5
2.2013-2014,4.6,0to5
1.2013-2014,2.7,0to5
1.2013-2014,4.3,0to5
1.2013-2014,0,0to5
2.2013-2014,6.4,5to8
1.2013-2014,4.7,0to5
1.2013-2014,7.3,5to8
1.2013-2014,6,5to8
1.2013-2014,0,0to5
2.2013-2014,5.2,5to8
