StudentID,PHI1004,PHI1005,POL1001,HIS1002,INT1003,INT1006,FLF1105,FLF1106,FLF1107,MAT1093,MAT1094,MAT1095,PHY1100,PHY1103,ELT2035,INT2203,MAT1101,ELT2029,INT1050,INT2204,INT2205,INT2206,INT2209,INT2207,INT2208,INT2202,INT3202,INT3110,INT3306,INT3115,INT3507,MAT1099,MAT1100,ELT2028,ELT2031,ELT3044,BSA2022,INE1150,INE1151,INT3117,INT3105,INT3106,INT3108,INT3109,INT3111,INT3206,INT3207,INT3209,INT3213,INT3216,INT3217,INT3301,INT3303,INT3304,INT3305,INT3307,INT3309,INT3310,INT3501,INT3505,INT3506,INT3401,INT3403,INT3404,INT3407,INT3508,INT4050,INT3509,INT2201,INT3405,INT3402,INT3211,INT2020,INT2009,INT3212,INT3061,MAT1089,INT3221
13020002,6.5,5.6,?,?,4.2,0.4,3.5,4.9,0.9,3.3,6,5.8,6.8,6.9,4.8,1.7,1.2,?,4.6,3.4,6.4,?,?,3.1,?,8.8,?,?,?,6,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020008,6.3,8.4,8.1,?,6.2,7.8,8.6,7.1,6.7,6.7,5.8,8.2,5.9,6.9,5.8,7.9,8.1,?,5.8,4,9.9,7.1,7.3,7.4,6.7,8.5,?,?,?,7.2,?,8.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020012,6.2,6,4.4,?,6.9,4.8,6.1,6.7,?,7.3,5,7.4,4.1,8.4,5.6,5.7,6,?,8.4,6.7,8.6,?,8.5,6.9,8.7,3,?,?,?,6.7,?,9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020053,5.4,7,5.2,?,7.9,8.8,4.5,5.3,4.5,6,7.3,6.2,5.8,6.9,5.1,6.3,5.8,?,6.5,5.5,10,7.1,2.3,6,8.1,6,?,?,?,6.3,?,?,4.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020063,4.7,5.9,6.9,?,7.2,4.6,5.3,6.2,4.7,5.8,7.1,7,5,6.4,4.4,4.9,3.5,?,6,3.1,6.9,6.2,5,5.3,7.5,5,?,?,?,6.8,?,7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020708,7,5.6,4.3,?,7.5,4.2,3.2,4.2,?,4.7,7,5.6,5.1,5.4,4.2,3.8,3.5,?,0,2.9,7.2,6.5,4.6,2.3,4.6,4.6,?,?,?,4.7,?,5.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020091,6.2,7.4,5.2,?,7.5,7.4,8.2,7.6,10,4.8,6.4,8.9,5.3,6.6,7,8,6.2,?,6.6,6.3,10,6.5,6.7,8.6,4,6,?,?,?,8.3,?,9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020712,5.5,6.8,5.6,?,7.3,4.1,4.1,5.8,4.7,4.1,5,2.2,7.3,3.6,5.4,3.4,2.3,?,1.1,0.9,4.6,6.6,5.3,6.1,6.2,2.8,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020716,5.5,3.9,6.6,?,6.2,7.5,7.4,5.2,3.7,4,5.1,3.7,7.2,2.8,6.6,0,1.3,?,?,?,6.5,5.2,5.1,3.9,?,2.2,?,?,?,?,?,4.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020113,4.9,2.4,6.5,?,7.3,6,6.4,7,5.3,5.1,8.1,7.2,4.4,6.7,6.7,5.5,5,?,6.1,4.8,7.6,5.8,2.8,4.4,4.6,6.2,?,?,?,5.2,?,4.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020531,4.5,5,6.6,?,3,0.8,4.3,3.6,?,4.3,8.2,7.7,8,6.9,6.2,7.2,3.4,?,1.7,0.4,4.4,6.8,0,5.6,0,4.2,?,?,?,6.3,?,?,4.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020125,6.5,8.1,7.3,?,8.1,8.8,7.8,6,4.7,6.6,5.5,7.2,9.7,8.8,9.7,7.2,6.9,?,9.2,8.1,10,5.6,9.4,8.3,9.5,6,?,?,?,8,?,?,4.7,?,?,?,?,6.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020136,6.5,5.6,5.4,?,7.7,7.6,10,10,10,3.8,7.5,7.4,5.9,8,6.7,5.3,5.7,?,6.2,5.5,7.3,?,8.2,7,7.6,6.7,?,?,?,7.3,?,7.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020137,0,?,?,?,6.8,7.9,6.8,?,0,6.4,8.3,8.4,5.7,0,0,6.3,?,?,7,8.3,9.4,5.1,?,4.6,6.7,9.6,?,2.4,?,?,?,0,0,?,?,?,?,?,?,?,?,0,?,?,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020146,6.7,6.4,4.2,?,7.5,9.7,6.8,7.8,6.2,4.7,6.6,9.4,4.7,8.5,5,7.4,7.3,?,1.3,4.6,9,5.2,6,6.5,6.6,4.2,?,?,?,6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020148,5.1,5.9,6.7,?,7.3,8.4,7.8,8.7,7.1,9.8,7.7,9,5.8,7.8,8.6,6.5,7.6,?,6.1,5.7,8.6,6,6.4,7.5,4.2,6.8,?,?,?,8.1,?,?,1.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020159,7.2,?,7,?,4.5,9.4,6.6,7.1,4.7,3.3,5.8,5.4,5.4,8.1,5.2,6.2,4,?,4.3,4.8,9.7,5.3,2.4,4.7,?,5,?,?,?,5.8,?,?,3.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020160,7,5.1,6.8,?,7.2,5,8.8,10,10,4.5,5.5,5.6,5.4,4.6,8.5,5.2,6.7,?,5.7,7.9,9.1,6.5,8.6,7.3,10,2.8,?,?,?,8.2,?,?,?,9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020713,4.2,?,?,?,8,7.3,2.9,6.5,4.6,5.4,4.7,4.9,7.3,5.4,2.8,5.9,4,?,6.4,5.2,3,6.4,7.7,5,8,7,?,?,?,5.6,?,?,?,?,?,?,?,5.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020183,2.4,3.4,?,?,8.6,6.8,8.9,8,7.2,4.6,6.1,3.7,0,8.4,?,7.3,6.6,?,5.2,6.2,7.8,3.8,5.2,7.5,4.8,7.6,?,?,?,6.8,?,7.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020190,3.4,3.9,4.5,?,7.2,5,4.9,6.1,?,3.6,6.5,8.4,6.2,5.1,5.1,0.5,?,?,3.1,3.3,?,3.7,0,4.3,0.4,6.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020546,6.1,5.2,6.2,?,5.9,7.5,6,6.7,?,5.2,7.1,7.8,7,6,7.7,5.4,6.4,?,5.3,7.4,7,?,6.7,8.3,5.3,4.8,?,?,?,9,?,8.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020196,7.8,5.4,6.2,?,7.2,7,6,5.4,5.4,6.6,6.1,9.4,5.9,7.8,7.8,7.6,5.1,?,7.7,8.3,8.6,6.4,6.8,6.7,8.5,6,?,?,?,7,?,?,5.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020704,3,5.7,5.6,?,5.5,1.4,7.8,5.1,4.1,3.4,4.6,4.3,6.2,6,6.7,?,5,?,3.1,0.2,5.2,6.1,?,4.2,?,1.6,?,?,?,5.5,?,?,3.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020228,6,4.8,6.1,7.4,7.1,8,6.8,6.6,6.6,5.3,5.5,8.8,6.4,6.6,6.6,8.2,5.6,?,5.6,5.2,6,5.8,7.5,6,7.5,7.2,?,?,?,5.6,?,?,4.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020229,5.7,4.8,3.2,?,7.9,6.2,7.5,6.8,4.9,5.6,5.9,8.2,5,6.3,5.9,5.2,6.1,?,4.9,5.4,10,4.8,7,7.6,4.7,4.6,?,?,?,7.6,?,?,4.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020265,6,7,4.6,?,8.2,7.1,4.5,4.1,?,6.4,9.3,9.2,5.8,6.9,6.3,9.1,9.3,?,7.6,5.6,9,5.4,5.6,7.1,6.9,7.2,?,?,?,7.6,?,9,?,?,?,?,?,?,?,?,?,?,?,?,8.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
