StudentID,PHI1004,PHI1005,POL1001,HIS1002,INT1003,INT1006,FLF1105,FLF1106,FLF1107,MAT1093,MAT1094,MAT1095,PHY1100,PHY1103,ELT2035,INT2203,MAT1101,ELT2029,INT1050,INT2204,INT2205,INT2206,INT2209,INT2207,INT2208,INT2202,INT3202,INT3110,INT3306,INT3115,INT3507,MAT1099,MAT1100,ELT2028,ELT2031,ELT3044,BSA2022,INE1150,INE1151,INT3117,INT3105,INT3106,INT3108,INT3109,INT3111,INT3206,INT3207,INT3209,INT3213,INT3216,INT3217,INT3301,INT3303,INT3304,INT3305,INT3307,INT3309,INT3310,INT3501,INT3505,INT3506,INT3401,INT3403,INT3404,INT3407,INT3508,INT4050,INT3509,INT2201,INT3405,INT3402,INT3211,INT2020,INT2009,INT3212,INT3061,MAT1089,INT3221
13020002,3,5,?,?,1,5,1,2,3,4,1,2,1,3,5,3,5,?,4,3,3,?,?,5,?,2,?,?,?,5,?,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020008,3,4,5,?,1,1,5,2,3,4,1,2,1,3,5,3,5,?,4,3,3,4,4,5,4,2,?,?,?,5,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020012,3,4,5,?,1,1,1,2,?,2,1,2,1,3,5,3,5,?,4,3,3,?,4,5,4,2,?,?,?,5,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020053,3,4,5,?,5,3,1,2,3,2,1,2,1,3,5,3,5,?,4,3,3,4,4,5,4,2,?,?,?,5,?,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020063,3,5,4,?,1,1,1,2,3,2,1,2,3,3,5,3,5,?,4,3,3,4,4,5,4,2,?,?,?,5,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020708,5,4,5,?,1,1,1,2,?,2,2,2,1,3,5,3,5,?,4,4,3,4,4,5,4,2,?,?,?,5,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020091,3,4,5,?,1,1,1,2,3,2,1,2,1,3,5,3,5,?,4,3,3,4,4,5,4,2,?,?,?,5,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020712,3,4,5,?,1,1,1,2,3,2,1,2,1,3,5,5,5,?,4,3,5,4,4,5,4,2,?,?,?,?,?,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020716,5,4,5,?,1,4,4,2,3,2,4,2,1,3,5,5,5,?,?,?,3,4,4,5,?,2,?,?,?,?,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13020113,3,4,5,?,1,1,1,2,5,2,1,2,1,3,5,5,5,?,2,5,3,4,4,3,4,2,?,?,?,5,?,4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
