subject,0-1,1-2,2-3,>3
1,728,281,52,26
2,735,259,44,36
3,741,312,54,28
4,642,247,43,36
5,68,36,21,13
6,235,177,103,94
7,64,38,8,9
8,651,349,82,62
9,619,316,77,67
10,209,140,79,74
11,112,77,40,35
12,516,374,169,123
13,449,293,120,53
14,606,352,144,78
15,548,367,143,76
16,548,359,168,97
17,560,375,166,63
19,567,379,134,72
20,522,365,180,102
21,480,363,215,123
22,467,359,187,119
23,566,365,121,87
24,601,376,112,61
25,559,366,120,81
26,512,369,196,137
27,364,273,102,55
28,415,256,102,76
29,308,255,174,216
30,503,293,75,69
31,57,45,23,48
32,277,208,106,72
33,395,281,111,65
37,21,13,6,1
39,28,19,11,8
40,127,96,46,28
42,35,25,9,7
43,84,54,34,36
45,201,149,46,35
46,43,15,4,3
47,73,44,11,10
48,129,85,48,35
49,217,132,67,41
51,42,25,27,91
52,273,248,158,163
53,106,83,43,18
56,117,117,69,83
58,147,109,90,71
60,73,44,18,46
61,144,77,32,16
62,150,110,74,64
63,470,277,102,56
64,18,4,12,10
66,215,182,80,119
67,198,121,49,68
68,117,115,59,89
69,108,54,5,2
70,90,61,30,43
71,92,54,12,3
73,92,48,11,7
74,104,45,5,4
76,9,10,5,9
77,171,100,44,7
78,135,78,29,13
